Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
POLAR A/S,"Hylkevej 31, 8660 Skanderborg",Skanderborg,14.06.2010,11.0,Lille,Aktieselskab,33036566,2.5,10890000.0,DKK,2024.0,0,0,20,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytiva Denmark Manufacturing ApS,"Strandhaven 12, 2665 Vallensbæk Strand",Vallensbæk,01.01.1999,21.0,Lille,Anpartsselskab,21595888,150.0,-39989000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRO-REN A/S,"Springstrup 7, 4300 Holbæk",Holbæk,22.11.2006,18.0,Lille,Aktieselskab,30069935,700.0,11185000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHARMA-TRADE A/S,"Skaaremosevej 11-14, 3230 Græsted",Gribskov,11.04.1984,Ikke oplyst,Ikke oplyst,Aktieselskab,87339815,3.0,0.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZP Group ApS,"Saunte Bygade 46 A st, 3100 Hornbæk",Helsingør,01.11.2013,15.0,Lille,Anpartsselskab,35525505,80.0,55543000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americhem Europe A/S,"Bohrsvej 8, 6760 Ribe",Esbjerg,26.04.2000,74.0,Mellemstor,Aktieselskab,25352440,1.429,36870000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars Frey ApS,"Torvet 1 2 mf, 4100 Ringsted",Ringsted,21.08.2020,4.0,Mikro,Anpartsselskab,41604859,40.0,1247000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RoscoPharm ApS,"Gentoftegade 56 B 1, 2820 Gentofte",Gentofte,02.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43431102,40.0,,nan,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANIC BEAUTY APS,"Egehegnet 21, 7300 Jelling",Vejle,18.09.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36393440,40.0,,nan,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK BEAUTY A/S,"Peder Larsens Vej 3, 7330 Brande",Ikast-Brande,19.01.2015,9.0,Mikro,Aktieselskab,36493151,500.0,2797000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
