Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
NY NÆSTVED MODELINDUSTRI ApS,"Appenæs Bygade 32, 4700 Næstved",Næstved,10.05.2006,2.0,Mikro,Anpartsselskab,29533075,125.0,1123000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GURIT WIND SYSTEMS A/S,"Ribovej 5, 6950 Ringkøbing",Ringkøbing-Skjern,03.07.2012,32.0,Lille,Aktieselskab,34607109,10.0,60432000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripplex ApS,"Hovedgaden 501, 2640 Hedehusene",Høje-Taastrup,19.02.2021,9.0,Mikro,Anpartsselskab,42142395,41.0,-999000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVIDBJERG VINDUET A/S,"Østergade 24, 7790 Thyholm",Struer,01.01.1993,178.0,Mellemstor,Aktieselskab,17010344,5.0,41339000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hemp Eco Systems Scandinavia ApS,"Nationernes Alle 1, 3000 Helsingør",Helsingør,23.03.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43950495,60.0,-198000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incado A/S,"Kvaglundvej 83, 6705 Esbjerg Ø",Esbjerg,01.01.2000,20.0,Lille,Aktieselskab,25473795,1.0,9260000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KEFLICO A/S,"Juelstrupparken 24, 9530 Støvring",Rebild,12.03.1969,61.0,Mellemstor,Aktieselskab,23980010,10.0,37231000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CRATEIT ApS,"Stenhuggervej 28, 5230 Odense M",Odense,03.05.2021,4.0,Mikro,Anpartsselskab,42356786,69.0,-581000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NYMOSEGÅRD TRÆULD ApS,"Tanghusvej 18, 8620 Kjellerup",Silkeborg,05.07.2010,3.0,Mikro,Anpartsselskab,33056036,80.0,694000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANNEBERGS LIMTRÆ A/S,"Lundtangvej 16 B, 6830 Nørre Nebel",Varde,01.05.1996,20.0,Lille,Aktieselskab,19371530,750.0,15372000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVALSØ SAVVÆRK A/S,"Bentsensvej 4, 4330 Hvalsø",Lejre,20.06.1994,21.0,Lille,Aktieselskab,17890433,1.0,12867000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HØRNING PARKET A/S,"Christiansmindevej 12, 8660 Skanderborg",Skanderborg,14.10.2011,25.0,Lille,Aktieselskab,33965362,1.0,16427000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Re-Claim ApS,"Inge Lehmanns Gade 10 6, 8000 Aarhus C",Århus,03.07.2023,2.0,Mikro,Anpartsselskab,44160129,40.0,-45000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Forcemile ApS,"Nr. Stenderupvej 31, 6000 Kolding",Kolding,07.03.2019,4.0,Mikro,Anpartsselskab,40354905,50.0,3804000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjergly Palleindustri ApS,"Sibirien 1, 4672 Klippinge",Stevns,27.06.2022,3.0,Mikro,Anpartsselskab,43356615,40.0,1523000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiset Savværk A/S,"Kongevej 243, 6510 Gram",Haderslev,01.04.2010,24.0,Lille,Aktieselskab,32837352,500.0,13168000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA CONSULT A/S,"Østre Industrivej 4, 6731 Tjæreborg",Esbjerg,08.10.2013,2.0,Mikro,Aktieselskab,35512535,500.0,-116000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gl. Rye Vinduer & Døre ApS,"Sortbærvej 78, 8600 Silkeborg",Silkeborg,15.03.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37544167,350.0,1285000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jysk Element ApS,"Holmhuse 14, 7860 Spøttrup",Skive,16.08.2019,10.0,Lille,Anpartsselskab,40735909,40.0,-470000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLAABORG VINDUER OG DØRE ApS,"Nørre Alle 26, 6070 Christiansfeld",Kolding,16.06.2003,5.0,Mikro,Anpartsselskab,27212204,125.0,2671000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zeppelin Rental Danmark A/S,"Grønningen 12, 4130 Viby Sjælland",Roskilde,08.12.1987,164.0,Mellemstor,Aktieselskab,11779573,400.0,226412000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JF Ejendomsservice ApS,"Hvedevænget 13, 4880 Nysted",Guldborgsund,22.02.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29396965,125.0,2200000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FK TRÆEMBALLAGE ApS,"Teglværksvej 7, 7760 Hurup Thy",Thisted,29.06.2006,9.0,Mikro,Anpartsselskab,29631956,250.0,5173000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOLLE A/S,"Vestergade 47, 7741 Frøstrup",Thisted,06.09.1982,127.0,Mellemstor,Aktieselskab,69395015,1.315,46066000.0,DKK,2023.0,1,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermocell Sales Aps,"Næssundvej 423, 7960 Karby",Morsø,01.06.2018,2.0,Mikro,Anpartsselskab,39628708,50.0,950000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
