Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
Almo Sil ApS,"Langelandsvej 3, 9500 Hobro",Mariagerfjord,06.01.2020,3.0,Mikro,Anpartsselskab,41054387,40.0,1811000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MV PLAST ApS,"Mirabellevej 9 A, 8930 Randers NØ",Randers,28.06.2006,15.0,Lille,Anpartsselskab,29627894,125.0,18414000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SP INVEST ApS,"Elkjærvej 100, 7500 Holstebro",Holstebro,01.01.1995,11.0,Lille,Anpartsselskab,18298341,402.0,5847000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A/S PREMO,"Kværredevej 4, 4690 Haslev",Faxe,09.11.1970,4.0,Mikro,Aktieselskab,31400112,500.0,1054000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RIKA PLAST A/S,"Saunte Bygade 12 A, 3100 Hornbæk",Helsingør,01.04.1991,10.0,Lille,Aktieselskab,15113030,500.0,4683000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NEPTUN PLAST A/S,"Fragevej 39, 4760 Vordingborg",Vordingborg,27.02.2004,7.0,Mikro,Aktieselskab,27616852,950.0,9237000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IKADAN PLAST A/S,"Højris Alle 89, 7430 Ikast",Ikast-Brande,01.07.1991,2.0,Mikro,Aktieselskab,15242671,600.0,6822000.0,DKK,2024.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RubiNord A/S,"Motorgangen 2, 2690 Karlslunde",Greve,05.05.2020,3.0,Mikro,Aktieselskab,41349921,400.0,-59000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
J.H. PLAST HOLDING ApS,"Håndværkerbakken 5, 2630 Taastrup",Høje-Taastrup,25.05.1981,Ikke oplyst,Ikke oplyst,Anpartsselskab,66925218,200.0,-19000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
H. W. LANGBALLE ApS,"Farmervej 1, 6600 Vejen",Vejen,30.03.1987,11.0,Lille,Anpartsselskab,10647983,300.0,5681000.0,DKK,2024.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salling Plast Aqua ApS,"Erhvervsvej 9, 7760 Hurup Thy",Thisted,05.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43489143,40.0,-18000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOUIS SKILTE ApS,"Rønnebærvej 12, 7400 Herning",Herning,09.08.2007,3.0,Mikro,Anpartsselskab,30737024,600.0,1079000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SKANDINAVISK BÅNDKOMPAGNI A/S,"Birkegårdsvej 34 A, 8361 Hasselager",Århus,01.07.2007,11.0,Lille,Aktieselskab,30702719,625.0,11458000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jade Gate International ApS,"Ved Rudesø 6, 2840 Holte",Rudersdal,15.01.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,20635193,1.0,96000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIGREEN INTERNATIONAL A/S,"Metalgangen 17, 2690 Karlslunde",Greve,02.01.1992,Ikke oplyst,Ikke oplyst,Aktieselskab,16233943,700.0,-96000.0,DKK,2023.0,1,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
