Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
GULDHAMMER A/S,"Lyngtoften 4, 7490 Aulum",Herning,30.12.1984,19.0,Lille,Aktieselskab,77127119,500.0,9488000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REPARO ApS,"Herman Bangs Vej 5, 4700 Næstved",Næstved,20.11.2010,1.0,Mikro,Anpartsselskab,33355149,125.0,599000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTEK MACHINERY ApS,"Tolderlundsvej 69 B 1 51, 5000 Odense C",Odense,03.10.2017,1.0,Mikro,Anpartsselskab,38982524,40.0,67000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM ismaskineservice ApS,"Hattemagerstien 9, 2300 København S",København,19.10.2021,1.0,Mikro,Anpartsselskab,42768634,40.0,627000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDBY SMEDIE & MASKINHANDEL A/S,"Suså Landevej 130, 4171 Glumsø",Næstved,27.09.1973,1.0,Mikro,Aktieselskab,47424313,586.0,703000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verdo Energy Systems A/S,"Agerskellet 7, 8920 Randers NV",Randers,01.09.1987,142.0,Mellemstor,Aktieselskab,11151582,1.2,81009000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW-LINE FAABORG A/S,"Værftsvej 5, 5600 Faaborg",Faaborg-Midtfyn,05.02.2002,2.0,Mikro,Aktieselskab,26445035,500.0,636000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aarestrup Traktor og Maskiner ApS,"Haverslevvej 89, 9520 Skørping",Rebild,09.04.2019,5.0,Mikro,Anpartsselskab,40435484,70.0,763000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC AirVent ApS,"Perikonhaven 21, 5500 Middelfart",Middelfart,21.06.2021,3.0,Mikro,Anpartsselskab,42483354,40.0,1921000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NTO A/S,"Industrivej 8, 7430 Ikast",Ikast-Brande,01.07.2003,58.0,Mellemstor,Aktieselskab,27240607,601.0,39677000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
