Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af computere og ydre enheder,"Fremstilling af udstyr til måling, afprøvning og navigation",Fremstilling af elektronik til husholdninger,Fremstilling af kommunikationsudstyr,Fremstilling af høreapparater og dele hertil,Fremstilling af ure,Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr,Fremstilling af elektroniske komponenter,"Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr",Fremstilling af printplader o.lign.
Detalo Health ApS,"Agern Alle 5 A, 2970 Hørsholm",Hørsholm,07.11.2018,1.0,Mikro,Anpartsselskab,40006109,50,,nan,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CRYPTAX ApS,"Hermodsgade 24 1, 2200 København N",København,31.12.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,42004723,40,857000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TracInnovations A/S,"Brydehusvej 13, 2750 Ballerup",Ballerup,11.08.2015,32.0,Lille,Aktieselskab,36982764,788,8657000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GATO AUDIO ApS,"Marielundvej 28, 2730 Herlev",Herlev,21.02.2008,4.0,Mikro,Anpartsselskab,31271703,175,1687000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMINAS ApS,"Gundestedvej 32, 4330 Hvalsø",Lejre,02.11.1982,1.0,Mikro,Anpartsselskab,70912228,200,65000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanquish Research ApS,"Skovshovedvej 23 A, 2920 Charlottenlund",Gentofte,11.09.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41667338,40,-40000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NELTEC DENMARK A/S,"Egegårdsvej 2, 6541 Bevtoft",Haderslev,12.01.1984,6.0,Mikro,Aktieselskab,73343828,900,2800000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green AV ApS,"Hannovergade 8, 2300 København S",København,13.07.2016,1.0,Mikro,Anpartsselskab,37890391,50,393000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J.M. ELEKTRONIK ApS,"Ved Klædebo 18, 2970 Hørsholm",Hørsholm,21.02.1993,10.0,Lille,Anpartsselskab,16853747,200,2591000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DANOTEK A/S,"Messingvej 22 D, 8940 Randers SV",Randers,07.04.2008,42.0,Lille,Aktieselskab,31367255,556,17842000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DELTA CONSULT & CONSTRUCTION ApS,"Industrivej 22 E, 3550 Slangerup",Frederikssund,17.04.1991,3.0,Mikro,Anpartsselskab,15049499,200,415000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LEITECH INSTRUMENTS ApS,"Fiskerengen 10, 3250 Gilleleje",Gribskov,01.05.1988,12.0,Lille,Anpartsselskab,12129289,200,5122000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stratos AI ApS,"Cortex Park 26 E 1, 5230 Odense M",Odense,10.08.2020,1.0,Mikro,Anpartsselskab,41572760,40,340000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ERGONOMIC SOLUTIONS MANUFACTURING A/S,"Stenholm 19, 9400 Nørresundby",Aalborg,12.12.2006,100.0,Mellemstor,Aktieselskab,30089677,1.000,45054000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamso Engineering ApS,"Ellegårdvej 25 H, 6400 Sønderborg",Sønderborg,08.07.2021,8.0,Mikro,Anpartsselskab,42534242,40,1324000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jegermor ApS,"Pilegårdens Haveby 14, 2860 Søborg",Gladsaxe,02.04.2017,1.0,Mikro,Anpartsselskab,38554751,40,177000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LHansen ApS,"Mariendalsvej 8 st tv, 2000 Frederiksberg",Frederiksberg,24.08.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37001511,40,295000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SIBER ApS,"Killerupvej 33, 4990 Sakskøbing",Guldborgsund,20.09.2011,1.0,Mikro,Anpartsselskab,33947259,80,544000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INELCO A/S,"Industrivej 3, 9690 Fjerritslev",Jammerbugt,25.11.2013,1.0,Mikro,Aktieselskab,25005589,1.000,89000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCB PROJECT HOUSE ApS,"Kignæsskrænten 3, 3630 Jægerspris",Frederikssund,27.06.2007,1.0,Mikro,Anpartsselskab,30707877,125,-87000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speakarts ApS,"Vermundsgade 13, 2100 København Ø",København,19.04.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37621412,50,0.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fotonir ApS,"Diplomvej 381, 2800 Kongens Lyngby",Lyngby-Taarbæk,22.06.2023,7.0,Mikro,Anpartsselskab,44142023,40,944000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GLAZE Technologies ApS,"Rundforbivej 23 st tv, 2950 Vedbæk",Rudersdal,01.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43756834,40,126000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASP Danmark ApS,"H.C. Andersens Boulevard 38 3 th, 1553 København V",København,20.09.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39877929,50,189000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ELTWIN A/S,"Torsøvej 1 B, 8240 Risskov",Århus,15.03.1990,109.0,Mellemstor,Aktieselskab,13992444,500,137208000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguardio ApS,"Logistikparken 1, 8220 Brabrand",Århus,22.03.2017,7.0,Mikro,Anpartsselskab,38512048,520,-982000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTX A/S,"Strømmen 6, 9400 Nørresundby",Aalborg,25.05.1993,188.0,Mellemstor,Aktieselskab,17002147,42.339,358431000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Trifork Smart Device ApS,"Rugaardsvej 5, 8680 Ry",Skanderborg,15.10.2016,2.0,Mikro,Anpartsselskab,38119206,116,1554000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRODERSEN CONTROL A/S,"Trørødvej 8, 2950 Vedbæk",Rudersdal,01.08.1998,3.0,Mikro,Aktieselskab,21149497,6.000,753000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellegaarden R&D ApS,"Møllehaven 12 B st, 4040 Jyllinge",Roskilde,05.06.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38687174,47,-530000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANG & OLUFSEN OPERATIONS A/S,"Bang og Olufsen Allé 1, 7600 Struer",Struer,09.05.2001,303.0,Stor,Aktieselskab,26035406,156.000,461700000.0,DKK,2024.0,0,0,26,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TECHNO-MATIC A/S,"Granlidevej 22, 9600 Aars",Vesthimmerland,25.11.1989,8.0,Mikro,Aktieselskab,13677506,500,2717000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREATE IT REAL A/S,"Hjulmagervej 28, 9000 Aalborg",Aalborg,23.01.2009,23.0,Lille,Aktieselskab,31944155,444,2281000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuperNova Aerospace Defense ApS,"Sydholmen 8, 2650 Hvidovre",Hvidovre,16.05.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34577544,80,-21000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAK PHOTONICS ApS,"Troldkær 13, 4070 Kirke Hyllinge",Lejre,01.10.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35513116,80,-26000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETEC ApS,"Industrivænget 8, 3300 Frederiksværk",Halsnæs,23.06.2006,1.0,Mikro,Anpartsselskab,29632081,125,50000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAMER NIELSEN HOLDING ApS,"Navervej 10, 8600 Silkeborg",Silkeborg,02.04.1979,Ikke oplyst,Ikke oplyst,Anpartsselskab,86092328,125,2108000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK MILJØ UDVIKLING ApS,"Marktoften 4, 3660 Stenløse",Egedal,01.08.1999,1.0,Mikro,Anpartsselskab,24226468,150,96000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOSCOPEX ApS,"Fælledvej 17, 7600 Struer",Struer,16.07.2012,1.0,Mikro,Anpartsselskab,34618755,120,314000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Insight Chips ApS,"Diplomvej 372 1, 2800 Kongens Lyngby",Lyngby-Taarbæk,22.07.2022,7.0,Mikro,Anpartsselskab,43408976,46,346000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hottinger Brüel & Kjær A/S,"Teknikerbyen 28, 2830 Virum",Lyngby-Taarbæk,03.09.1957,427.0,Stor,Aktieselskab,23958414,102.000,469604000.0,DKK,2023.0,1,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senserna A/S,"Humlestien 3, 4030 Tune",Greve,06.07.2016,1.0,Mikro,Aktieselskab,37855316,696,650000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORTOFON A/S,"Stavangervej 9, 4900 Nakskov",Lolland,12.04.1947,129.0,Mellemstor,Aktieselskab,17015028,4.800,40971000.0,DKK,2023.0,1,1,26,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PCH ENGINEERING A/S,"Østbanegade 123, 2100 København Ø",København,20.05.1998,25.0,Lille,Aktieselskab,20891386,1.065,35835000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GP ELEKTRONIK A/S,"Thujavej 3, 5250 Odense SV",Odense,15.05.1993,20.0,Lille,Aktieselskab,17004387,600,21080000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lunar Millennium ApS,"Bjerghedevej 8, 9600 Aars",Vesthimmerland,18.03.2020,4.0,Mikro,Anpartsselskab,41267038,40,586000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3D Nordic ApS,"Amalienborgvej 57, 9400 Nørresundby",Aalborg,23.06.2017,19.0,Lille,Anpartsselskab,38736736,50,8556000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAIGH TECH ApS,"Dybendalsvænget 3, 2630 Taastrup",Høje-Taastrup,01.07.1998,1.0,Mikro,Anpartsselskab,20973080,125,1061000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paragit Neurotech ApS,"Grundtvigsvej 6 A kl th, 1864 Frederiksberg C",Frederiksberg,14.07.2018,2.0,Mikro,Anpartsselskab,39725371,58,-2036000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OBSERVE MEDICAL ApS,"Hørkær 12 A, 2730 Herlev",Herlev,26.01.2010,1.0,Mikro,Anpartsselskab,32763162,585,2767000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOICEBIRD ApS,"Kystvej 17 3 th, 7130 Juelsminde",Hedensted,13.05.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33649495,80,-12000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMM-CONNECT A/S,"Raasigvangen 2, 3550 Slangerup",Frederikssund,10.06.2005,8.0,Mikro,Aktieselskab,28842074,1.010,2976000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordic LCMS Service ApS,"Møllebjergvej 10, 4330 Hvalsø",Lejre,01.11.2015,2.0,Mikro,Anpartsselskab,37193984,40,774000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Botanical Sense ApS,"Bülowsgade 34, 8000 Aarhus C",Århus,14.02.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38425366,40,0.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIDEMUS TECHNOLOGY ApS,"Sohngårdsholmsvej 15, 9000 Aalborg",Aalborg,03.05.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35235973,80,-7000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SiPhotonIC ApS,"Virum Stationsvej 207, 2830 Virum",Lyngby-Taarbæk,05.10.2018,2.0,Mikro,Anpartsselskab,39934639,63,457000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Iron Device Europe ApS,"Stamholmen 193 F st th, 2650 Hvidovre",Hvidovre,01.05.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38629085,50,6000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spectro Inlets ApS,"Generatorvej 6 st, 2860 Søborg",Gladsaxe,21.11.2016,10.0,Lille,Anpartsselskab,38208039,86,6006000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theta Optical Technologies ApS,"Cortex Park 26 E 1, 5230 Odense M",Odense,16.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43782533,40,303000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MekaTecH ApS,"Nørrekær 25, 7100 Vejle",Vejle,23.01.2019,1.0,Mikro,Anpartsselskab,40231145,50,638000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BUCHARDT-AUDIO ApS,"Korshøjvej 6, 8600 Silkeborg",Silkeborg,05.09.2013,7.0,Mikro,Anpartsselskab,35477543,457,16874000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNISENSE A/S,"Langdyssen 5, 8200 Aarhus N",Århus,16.06.2011,26.0,Lille,Aktieselskab,33762593,2.158,25690000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StepUp Horse ApS,"Fruebjergvej 3, 2100 København Ø",København,24.02.2021,1.0,Mikro,Anpartsselskab,42158429,40,1433000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METRICORR ApS,"Tørringvej 7, 2610 Rødovre",Rødovre,01.09.2002,11.0,Lille,Anpartsselskab,26784786,684,10366000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurora Supplies ApS,"Roret 229, 3070 Snekkersten",Helsingør,07.10.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43578391,40,,nan,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stella Safe ApS,"Kalkbrænderiløbskaj 6 1, 2100 København Ø",København,28.02.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41242841,40,102000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JLI VISION A/S,"Ellekær 9 1 tv, 2730 Herlev",Herlev,30.06.1987,41.0,Lille,Aktieselskab,10969042,600,34543000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrainCapture ApS,"Elektrovej 331, 2800 Kongens Lyngby",Lyngby-Taarbæk,01.07.2019,10.0,Lille,Anpartsselskab,40651721,81,3396000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Smartdevice ApS,"Snedkervej 2 B, 4600 Køge",Køge,30.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41338687,45,153000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shapes Audio ApS,"Johan Mantzius Vej 40, 3460 Birkerød",Rudersdal,04.08.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42585262,40,-38000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIBICOM A/S,"Industriparken 35, 2750 Ballerup",Ballerup,01.09.2000,103.0,Mellemstor,Aktieselskab,25598008,38.000,158237000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Delfi Denmark ApS,"Løntoft 9, 6400 Sønderborg",Sønderborg,28.09.2018,3.0,Mikro,Anpartsselskab,39898454,50,1439000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XFB ApS,"Gersonsvej 7, 2900 Hellerup",Gentofte,21.05.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32935303,482,-19000.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAN ANTENNA A/S,"Literbuen 15, 2740 Skovlunde",Ballerup,21.02.1985,20.0,Lille,Aktieselskab,77210016,667,8115000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HP Elektronik-Montage ApS,"Brydehusvej 30, 2750 Ballerup",Ballerup,31.08.2001,36.0,Lille,Anpartsselskab,26218810,200,21711000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAMPLIX ApS,"Bregnerødvej 96, 3460 Birkerød",Rudersdal,18.12.2013,31.0,Lille,Anpartsselskab,32309321,1.237,6431000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ROSENDAHL CONCEPTKIOSK A/S,"Thorsvej 233, 7200 Grindsted",Billund,13.09.2006,11.0,Lille,Aktieselskab,29912920,650,4969000.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRATED GAS TECHNOLOGIES ApS,"Gydevang 39-41, 3450 Allerød",Allerød,16.08.2004,3.0,Mikro,Anpartsselskab,27987702,400,1895000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen ApS,"Holmesøvej 33, 2660 Brøndby Strand",Brøndby,08.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44041650,40,0.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIT SCANDINAVIA ApS,"Herstedvang 8, 2620 Albertslund",Albertslund,03.02.2010,4.0,Mikro,Anpartsselskab,32771432,125,5143000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sfiber.dk ApS,"Åkandehaven 98, 2765 Smørum",Egedal,01.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40991093,40,10000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S-Electric Esbjerg ApS,"Gammelby Møllevej 4 A, 6700 Esbjerg",Esbjerg,12.01.2009,1.0,Mikro,Anpartsselskab,31934672,125,1186000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZenSati Production ApS,"Bomose Alle 9, 3200 Helsinge",Gribskov,25.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42785903,40,-8000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BANSIK ApS,"Dronningens Tværgade 50 1 1, 1302 København K",København,01.11.2000,3.0,Mikro,Anpartsselskab,25762940,125,61000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IRIDIUM WATERPROOF COMMUNICATION SYSTEMS ApS,"Hejrevang 13, 3450 Allerød",Allerød,01.05.2014,11.0,Lille,Anpartsselskab,35845631,63,1955000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WSAUD A/S,"Nymøllevej 6, 3540 Lynge",Allerød,11.07.2012,Ikke oplyst,Ikke oplyst,Aktieselskab,34615500,400,-2000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ocumove ApS,"Sandagervej 1, 8240 Risskov",Århus,05.09.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34697639,97,-19000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encombi ApS,"Livøvej 29 B, 8800 Viborg",Viborg,24.07.2018,7.0,Mikro,Anpartsselskab,39749807,70,9176000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFM ApS,"Drejet 58, 7400 Herning",Herning,29.06.2012,1.0,Mikro,Anpartsselskab,34608326,80,228000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SpaceTech denMACH ApS,"Østersøvej 28 A, 2150 Nordhavn",København,06.04.2021,5.0,Mikro,Anpartsselskab,42277185,81,-10375000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELITE ApS,"Måløv Byvej 229, 2760 Måløv",Ballerup,01.01.2000,5.0,Mikro,Anpartsselskab,25119010,125,979000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CJ Engeneering ApS,"Teglværksvej 1 B, 7700 Thisted",Thisted,30.09.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40827498,40,118000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudfors ApS,"Torslundevej 79 F, 2635 Ishøj",Ishøj,05.01.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,41998660,40,-30000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TOOsonix A/S,"Agern Alle 1, 2970 Hørsholm",Hørsholm,10.02.2017,2.0,Mikro,Aktieselskab,38431447,1.186,-592000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LIZN ApS,"Sindalsvej 34, 8240 Risskov",Århus,10.12.2009,10.0,Lille,Anpartsselskab,32652492,1.748,2803000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audinor ApS,"Benediktevej 5, 3480 Fredensborg",Fredensborg,19.10.2016,2.0,Mikro,Anpartsselskab,38121588,50,927000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Go-Dogo ApS,"Hjortekærsvej 64, 2800 Kongens Lyngby",Lyngby-Taarbæk,04.04.2024,Ikke oplyst,Ikke oplyst,Anpartsselskab,44747723,50,-5000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPV INTERNATIONAL A/S,"Lysholt Allé 11, 7100 Vejle",Vejle,24.06.1981,227.0,Mellemstor,Aktieselskab,66945715,50.000,32665000.0,DKK,2023.0,1,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DSE DANISH SENSOR ENGINEERING ApS,"Nørrelundvej 8 B 1, 2730 Herlev",Herlev,01.01.1996,3.0,Mikro,Anpartsselskab,19038432,40,882000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GREENOIL STANDARD A/S,"Erhvervsparken 10, 8400 Ebeltoft",Syddjurs,19.12.2003,17.0,Lille,Aktieselskab,26997976,530,16552000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BoxKnox ApS,"Østervangsvej 39, 6715 Esbjerg N",Esbjerg,23.10.2003,5.0,Mikro,Anpartsselskab,27435262,800,-48000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NANOVI A/S,"Diplomvej 378 st, 2800 Kongens Lyngby",Lyngby-Taarbæk,12.12.2012,1.0,Mikro,Aktieselskab,34889031,400,403000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Torso Electronics ApS,"Rentemestervej 69 A 2, 2400 København NV",København,13.03.2018,8.0,Mikro,Anpartsselskab,39417324,40,1736000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
