Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
Sintec ApS,"Enghaven 20, 6580 Vamdrup",Kolding,11.05.2021,1.0,Mikro,Anpartsselskab,42381861,210.0,627000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDICCO A/S,"Strevelinsvej 22, 7000 Fredericia",Fredericia,31.08.2014,11.0,Lille,Aktieselskab,36085118,600.0,10255000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NAUTRONIC A/S,"Danmarksvej 1, 8660 Skanderborg",Skanderborg,24.06.1989,8.0,Mikro,Aktieselskab,13127778,500.0,3485000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIGATRONIC A/S,"Aggersundvej 33, 9690 Fjerritslev",Jammerbugt,31.12.1971,171.0,Mellemstor,Aktieselskab,34485216,8.759,-15298000.0,DKK,2023.0,1,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphenol Cabelcon ApS,"Industriparken 10, 4760 Vordingborg",Vordingborg,01.11.1993,69.0,Mellemstor,Anpartsselskab,17376632,500.0,13392000.0,DKK,2023.0,1,0,27,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
K-tavler ApS,"Hagensvej 7, 9530 Støvring",Rebild,17.10.2023,1.0,Mikro,Anpartsselskab,44387948,40.0,294000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordic Ultra Capacitor Engineering Research Center A/S,"Niels Jernes Vej 10, 9220 Aalborg Øst",Aalborg,05.03.2019,1.0,Mikro,Aktieselskab,40318585,1.0,578000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDE ELECTRONICS A/S,"Birkmosevej 13 B, 6950 Ringkøbing",Ringkøbing-Skjern,07.04.1949,1.0,Mikro,Aktieselskab,26081017,1.5,2171000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ladeklubben ApS,"Tinggårdvej 7, 6400 Sønderborg",Sønderborg,21.10.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41782587,150.0,50000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hua Dan Innovation ApS,"Skovdiget 28, 2880 Bagsværd",Gladsaxe,28.09.2017,1.0,Mikro,Anpartsselskab,38976656,50.0,-15000.0,DKK,2023.0,0,0,27,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
